full_name,age,league,position,Current Club,minutes_played_overall,nationality,appearances_overall,goals_overall,goals_home,goals_away,assists_overall,clean_sheets_overall,yellow_cards_overall,red_cards_overall
Nathaniel Mendez-Laing,27,Premier League,Midfielder,Cardiff City,984,England,20,4,0,4,1,6,0,0
Danny Ward,28,Premier League,Forward,Cardiff City,440,England,14,1,1,0,0,2,0,0
Josh Murphy,24,Premier League,Forward,Cardiff City,1825,England,29,3,2,1,2,7,2,0
Gary Madine,29,Premier League,Forward,Cardiff City,32,England,5,0,0,0,0,0,0,0
Alex Smithies,29,Premier League,Goalkeeper,Cardiff City,0,England,0,0,0,0,0,0,0,0
Víctor Camarasa,25,Premier League,Midfielder,Cardiff City,2579,Spain,32,5,4,1,4,8,6,0
Greg Cunningham,28,Premier League,Defender,Cardiff City,630,Republic of Ireland,7,0,0,0,0,1,3,0
Jazz Richards,28,Premier League,Defender,Cardiff City,128,Wales,4,0,0,0,0,1,0,0
Fabricio Martín Agosto Ramírez,31,Premier League,Goalkeeper,Fulham,180,Spain,2,0,0,0,0,0,0,0
Maxime Le Marchand,30,Premier League,Defender,Fulham,2251,France,26,0,0,0,1,4,5,0
Cyrus Christie,27,Premier League,Defender,Fulham,1943,Republic of Ireland,28,0,0,0,1,5,7,0
Joe Bryan,26,Premier League,Defender,Fulham,2350,England,28,0,0,0,1,5,5,0
Calum Chambers,24,Premier League,Defender,Fulham,2587,England,31,2,2,0,0,5,9,0
Kevin McDonald,30,Premier League,Midfielder,Fulham,842,Scotland,15,0,0,0,0,0,6,1
André Schürrle,28,Premier League,Midfielder,Fulham,1650,Germany,24,6,3,3,0,1,2,0
Tom Cairney,28,Premier League,Midfielder,Fulham,2198,Scotland,31,1,1,0,1,4,0,0
Jean Michaël Seri,28,Premier League,Midfielder,Fulham,2252,Côte d'Ivoire,32,1,1,0,2,4,6,0
Ryan Sessegnon,19,Premier League,Defender,Fulham,2298,England,35,2,1,1,6,4,0,0
Aleksandar Mitrović,25,Premier League,Forward,Fulham,3282,Serbia,37,11,8,3,3,5,7,0
Aboubakar Kamara,24,Premier League,Forward,Fulham,687,France,13,3,1,2,0,2,2,0
Luciano Vietto,25,Premier League,Forward,Fulham,983,Argentina,20,1,1,0,4,1,1,0
Stefan Marius Johansen,28,Premier League,Midfielder,Fulham,412,Norway,12,0,0,0,0,0,4,0
Neeskens Kebano,27,Premier League,Midfielder,Fulham,103,Congo DR,7,0,0,0,0,0,0,0
Timothy Fosu-Mensah,21,Premier League,Defender,Fulham,795,Netherlands,12,0,0,0,0,1,3,0
Sergio Rico,26,Premier League,Goalkeeper,Fulham,2610,Spain,29,0,0,0,0,5,1,0
Ibrahima Cissé,25,Premier League,Midfielder,Fulham,87,Belgium,3,0,0,0,0,0,0,0
Wayne Hennessey,32,Premier League,Goalkeeper,Crystal Palace,1575,Wales,18,0,0,0,0,5,0,0
Mamadou Sakho,29,Premier League,Defender,Crystal Palace,2417,France,27,0,0,0,0,9,2,0
James Tomkins,30,Premier League,Defender,Crystal Palace,2563,England,29,1,0,1,1,10,6,0
Patrick van Aanholt,29,Premier League,Defender,Crystal Palace,3198,Netherlands,36,3,2,1,2,12,3,0
Jeffrey Schlupp,26,Premier League,Defender,Crystal Palace,1665,Ghana,30,4,1,3,1,8,1,0
Aaron Wan-Bissaka,21,Premier League,Midfielder,Crystal Palace,3135,England,35,0,0,0,3,12,5,1
James McArthur,32,Premier League,Midfielder,Crystal Palace,3071,Scotland,38,3,1,2,6,12,7,0
Andros Townsend,28,Premier League,Midfielder,Crystal Palace,3018,England,38,6,2,4,4,12,1,0
Luka Milivojević,28,Premier League,Midfielder,Crystal Palace,3420,Serbia,38,12,7,5,2,12,10,0
Christian Benteke,28,Premier League,Forward,Crystal Palace,813,Belgium,16,1,0,1,1,5,1,0
Wilfried Zaha,26,Premier League,Midfielder,Crystal Palace,3041,Côte d'Ivoire,34,10,1,9,5,10,10,1
Alexander Sørloth,23,Premier League,Forward,Crystal Palace,173,Norway,12,0,0,0,0,4,0,0
Cheikhou Kouyaté,29,Premier League,Midfielder,Crystal Palace,1897,Senegal,31,0,0,0,2,11,3,0
Pape N'Diaye Souaré,29,Premier League,Defender,Crystal Palace,0,Senegal,1,0,0,0,0,1,0,0
Joel Ward,29,Premier League,Defender,Crystal Palace,551,England,7,1,1,0,0,0,1,0
Vicente Guaita,32,Premier League,Goalkeeper,Crystal Palace,1755,Spain,20,0,0,0,0,7,2,0
Martin Kelly,29,Premier League,Defender,Crystal Palace,1110,England,13,0,0,0,0,3,2,0
Jaïro Riedewald,23,Premier League,Defender,Crystal Palace,0,Netherlands,0,0,0,0,0,0,0,0
Ben Hamer,31,Premier League,Goalkeeper,Huddersfield Town,553,England,7,0,0,0,0,1,0,0
Mathias Jattah-Njie Jørgensen,29,Premier League,Defender,Huddersfield Town,2148,Denmark,24,3,1,2,1,3,6,0
Chris Löwe,30,Premier League,Defender,Huddersfield Town,2057,Germany,29,0,0,0,2,1,2,0
Christopher Schindler,29,Premier League,Defender,Huddersfield Town,3262,Germany,37,1,0,1,0,5,6,1
Terence Kongolo,25,Premier League,Defender,Huddersfield Town,2722,Netherlands,32,1,0,1,1,4,4,0
Florent Hadergjonaj,25,Premier League,Defender,Huddersfield Town,1840,Switzerland,24,0,0,0,0,4,1,0
Jonathan Hogg,30,Premier League,Midfielder,Huddersfield Town,2377,England,29,0,0,0,1,5,9,1
Aaron Mooy,29,Premier League,Midfielder,Huddersfield Town,2327,Australia,29,3,1,2,1,4,4,0
Alex Pritchard,26,Premier League,Midfielder,Huddersfield Town,2092,England,30,2,1,1,0,4,2,0
Philip Billing,23,Premier League,Midfielder,Huddersfield Town,2192,Denmark,27,2,1,1,0,5,7,0
Steve Mounié,25,Premier League,Forward,Huddersfield Town,1777,Benin,31,2,2,0,3,5,2,1
Laurent Depoitre,30,Premier League,Forward,Huddersfield Town,1059,Belgium,23,0,0,0,1,3,1,0
Adama Diakhaby,23,Premier League,Forward,Huddersfield Town,551,France,12,0,0,0,0,1,1,0
Jonas Lössl,30,Premier League,Goalkeeper,Huddersfield Town,2777,Denmark,31,0,0,0,1,5,1,0
Tom Smith,27,Premier League,Defender,Huddersfield Town,1141,England,15,0,0,0,0,1,3,1
Ramadan Sobhi,22,Premier League,Forward,Huddersfield Town,75,Egypt,4,0,0,0,0,0,0,0
Rajiv van La Parra,28,Premier League,Midfielder,Huddersfield Town,407,Netherlands,5,0,0,0,0,1,0,0
Jon Gorenc Stankovič,23,Premier League,Defender,Huddersfield Town,718,Slovenia,11,1,0,1,0,2,2,0
Kepa Arrizabalaga,25,Premier League,Goalkeeper,Chelsea,3240,Spain,36,0,0,0,0,14,2,0
David Luiz,32,Premier League,Defender,Chelsea,3239,Brazil,36,3,3,0,2,16,3,0
Cesar Azpilicueta,30,Premier League,Defender,Chelsea,3403,Spain,38,1,0,1,5,16,4,0
Marcos Alonso,28,Premier League,Defender,Chelsea,2761,Spain,31,2,1,1,4,14,6,0
Antonio Rüdiger,26,Premier League,Defender,Chelsea,2874,Germany,33,1,1,0,0,12,7,0
Ross Barkley,25,Premier League,Midfielder,Chelsea,1241,England,27,3,1,2,5,11,1,0
Jorginho,27,Premier League,Midfielder,Chelsea,3165,Italy,37,2,0,2,0,16,8,0
N'Golo Kanté,28,Premier League,Midfielder,Chelsea,3096,France,36,4,2,2,4,15,3,0
Willian,31,Premier League,Forward,Chelsea,2108,Brazil,32,3,2,1,6,13,2,0
Pedro Rodriguez,32,Premier League,Midfielder,Chelsea,1780,Spain,31,8,6,2,2,11,2,0
